fname,label,Acoustic_guitar,Bass_drum,Cello,Clarinet,Double_bass,Flute,Hi-hat,Saxophone,Snare_drum,Violin_or_fiddle,y_pred
5388d14d.wav,Saxophone,0.00026272860122844577,0.01511351764202118,0.020323392003774643,0.012732462026178837,0.0018105393974110484,0.07162681221961975,0.00031288820900954306,0.8647998571395874,0.00017213878163602203,0.012845590710639954,Saxophone
c685f05f.wav,Saxophone,0.001224883017130196,9.544239583192393e-05,0.0122106047347188,0.011690660379827023,0.00031259661773219705,0.010822468437254429,5.212241012486629e-05,0.9494036436080933,0.0009611692512407899,0.013226447626948357,Saxophone
36d20ab5.wav,Saxophone,0.000400334334699437,0.0005823249812237918,0.0032719310838729143,0.01675899513065815,0.012012452818453312,0.02734450064599514,0.0023602175060659647,0.9328829646110535,0.001385146169923246,0.0030010121408849955,Saxophone
d6665734.wav,Saxophone,0.010631349869072437,6.724066770402715e-05,0.05962268263101578,0.006796219386160374,0.00046043223119340837,0.04343389347195625,3.6285800888435915e-06,0.8502056002616882,0.007950989529490471,0.020827893167734146,Saxophone
7352e28f.wav,Saxophone,2.0106135707465e-05,1.7858967638062495e-08,0.0002631107054185122,0.003785009030252695,6.155191272227967e-07,0.16761353611946106,1.3750276958712782e-11,0.8278853893280029,1.3870009307748177e-10,0.0004321055021136999,Saxophone
8fa096bf.wav,Saxophone,0.0039281342178583145,0.0014727188972756267,0.012386675924062729,0.01291623804718256,0.003291776403784752,0.017873240634799004,0.002855593105778098,0.92233806848526,0.0011055679060518742,0.021832002326846123,Saxophone
2f9c5f62.wav,Saxophone,0.000458877591881901,2.1635921712004347e-06,0.00013619463425129652,0.08950052410364151,0.001974195707589388,0.0012841764837503433,3.0996403665994876e-07,0.896094799041748,0.0009645622922107577,0.009584130719304085,Saxophone
9cd05a2b.wav,Saxophone,0.00011748299584724009,0.00011583405284909531,0.00015097415598575026,0.0003198821214027703,0.0015962934121489525,0.015310478396713734,1.04521870980534e-06,0.9814264178276062,0.00018024291784968227,0.0007814464042894542,Saxophone
ab465bf9.wav,Saxophone,1.0948118642772897e-06,1.6886610165744997e-10,1.2648305869333853e-07,0.000792359234765172,3.746044683339278e-07,0.0016596748027950525,1.4164898095615774e-13,0.9975202083587646,3.316377034101592e-11,2.625467641337309e-05,Saxophone
c40632d7.wav,Saxophone,0.010231738910079002,0.007545168977230787,0.026993220672011375,0.03754710406064987,0.004606481641530991,0.057696547359228134,0.00033532161614857614,0.7808434367179871,0.008322554640471935,0.06587834656238556,Saxophone
3a80061f.wav,Saxophone,0.004114164039492607,6.567413220182061e-05,0.02659567818045616,0.005791894160211086,0.0006144148646853864,0.014092141762375832,4.991160949430196e-06,0.9297206401824951,0.0024084229953587055,0.016591990366578102,Saxophone
dba6817d.wav,Saxophone,0.040914058685302734,3.2528394513064995e-05,0.011860023252665997,0.0028087166137993336,0.0009388787439092994,0.0675356388092041,2.3390844035020564e-06,0.8586124777793884,0.0002785100368782878,0.01701689139008522,Saxophone
25f26095.wav,Saxophone,0.00032795165316201746,0.00042620854219421744,0.004059390164911747,0.0050378404557704926,0.0032216000836342573,0.003578346921131015,0.0026111798360943794,0.9459065198898315,0.025338342413306236,0.009492641314864159,Saxophone
